ticker,date,time,title,compound,pos,neu,neg
AAPL,2025-05-11,03:45PM,16 Words From Warren Buffett That Should Have Apple Stock Investors Excited,0.34,0.179,0.821,0.0
AAPL,2025-05-11,04:58PM,Is Apple Inc. (AAPL) the Best Stock to Buy According to Jim Simons' Renaissance Technologies?,0.6369,0.231,0.769,0.0
AAPL,2025-05-11,09:19PM,India roundup: Why Apple's road to 'Made in India' is longer than it looks,0.0,0.0,1.0,0.0
AAPL,2025-05-11,11:26PM,Tata reportedly doubles Hosur iPhone enclosure production for Apple's next launch and India expansion,0.0,0.0,1.0,0.0
AAPL,2025-05-12,01:44PM,Trump says he spoke to Apple CEO Tim Cook after announcing the tariffs pause,0.0,0.0,1.0,0.0
AAPL,2025-05-12,01:44PM,Trump says he spoke to Apple CEO Tim Cook after announcing tariff pause,0.0,0.0,1.0,0.0
AAPL,2025-05-12,01:51PM,Shocking China news sends Apple stock surging today,-0.4019,0.0,0.722,0.278
AAPL,2025-05-12,02:15PM,Apple to Lean on AI Tool to Help iPhone Battery Lifespan for Devices in iOS 19,0.4019,0.153,0.847,0.0
AAPL,2025-05-12,02:24PM,Apple Shares Rise as Tariffs on Devices Cut,0.0258,0.214,0.583,0.204
AAPL,2025-05-12,02:26PM,"Stock market today: Dow gains 1,000 points, while S&P 500, Nasdaq surge as US-China deal spurs a rush into stocks",0.34,0.118,0.882,0.0
AAPL,2025-05-12,02:39PM,Trump Says He Thinks Apple Will Increase US Investment,0.3182,0.223,0.777,0.0
AAPL,2025-05-12,03:05PM,"Stocks to Watch Monday: Apple, Nvidia, Broadcom, Shopify",0.0,0.0,1.0,0.0
AAPL,2025-05-12,03:05PM,"Perplexity AI Looks to Raise $500 Million, Increasing the Pressure on Google Search",-0.296,0.0,0.845,0.155
AAPL,2025-05-12,04:00PM,"Stock market today: Dow jumps 1,100 points, S&P 500 and Nasdaq surge after US-China tariff rollback triggers buying spree",0.0,0.0,1.0,0.0
AAPL,2025-05-12,04:00PM,Tesla to Debut Self-Driving Taxi in June as Robotaxi Wars Begin,-0.5574,0.0,0.735,0.265
AAPL,2025-05-12,04:03PM,Why Apple Isnt Fully Liberated From Its Tariff Selloff Yet,0.0,0.0,1.0,0.0
AAPL,2025-05-12,04:10PM,"Apple, Pan American & MAG, NRG Energy: Trending Tickers",0.2732,0.231,0.769,0.0
AAPL,2025-05-12,04:11PM,Stock Market Today: Dow Jones Rockets As Trump Makes This China Boast; Bill Ackman Stock Clears Key Level (Live Coverage),0.0772,0.064,0.936,0.0
AAPL,2025-05-12,04:15PM,Apple Inc. (AAPL): Developing AI Chips for Smart Glasses and Next-Gen Devices,0.4019,0.197,0.803,0.0
AAPL,2025-05-12,04:42PM,Trump Says China Agreed to Roll Back Non-Tariff Barriers,0.2732,0.208,0.792,0.0
AAPL,2025-05-12,04:44AM,"Is Meta Platforms a Better ""Magnificent Seven"" Stock to Buy Right Now Than Apple?",0.7783,0.382,0.618,0.0
AAPL,2025-05-12,04:50PM,Apple (AAPL) Reaches $95M Siri Settlement Over Privacy Lawsuit,-0.1779,0.119,0.693,0.188
AAPL,2025-05-12,04:50PM,USChina deal is 'encouraging' but lacks significant clarity,0.6956,0.489,0.511,0.0
AAPL,2025-05-12,05:00AM,Apple's brutal year keeps getting worse,-0.802,0.0,0.357,0.643
AAPL,2025-05-12,05:14PM,"Apple Stock Rises On Tariff Relief, But Services Challenges Remain",0.3612,0.304,0.696,0.0
AAPL,2025-05-12,05:24PM,Playing With Our Patience as the Rally Resets,0.2023,0.205,0.795,0.0
AAPL,2025-05-12,05:34PM,Apple could hike iPhone prices 'independent' of tariff pressure,-0.296,0.0,0.784,0.216
AAPL,2025-05-12,05:54PM,Stocks to Watch as the U.S. & China Reach a Trade Deal,0.0258,0.109,0.891,0.0
AAPL,2025-05-12,06:04AM,"Apple Considers Raising iPhone Prices, Without Blaming Tariffs",0.3875,0.273,0.727,0.0
AAPL,2025-05-12,06:16AM,"Apple considers raising iPhone prices, WSJ reports",0.0,0.0,1.0,0.0
AAPL,2025-05-12,06:20AM,Is Vanguard Dividend Appreciation ETF (VIG) a Strong ETF Right Now?,0.765,0.452,0.548,0.0
AAPL,2025-05-12,06:20AM,Should Invesco RAFI US 1000 ETF (PRF) Be on Your Investing Radar?,0.0,0.0,1.0,0.0
AAPL,2025-05-12,06:20AM,Should WisdomTree U.S. LargeCap ETF (EPS) Be on Your Investing Radar?,0.0,0.0,1.0,0.0
AAPL,2025-05-12,06:30AM,"With Warren Buffett Stepping Down as CEO, Will Berkshire Hathaway Sell Apple Stock?",0.0,0.0,1.0,0.0
AAPL,2025-05-12,06:36AM,China's March shipments of foreign-branded cellphones drop almost 50%,-0.2732,0.0,0.792,0.208
AAPL,2025-05-12,07:55AM,5 Things to Know Before the Stock Market Opens,0.0,0.0,1.0,0.0
AAPL,2025-05-12,08:00AM,Why US-China tariff agreement isnt super bullish for stocks,0.0139,0.24,0.525,0.236
AAPL,2025-05-12,08:00PM,"Samsung beats Apple to punch, launches ultrathin Galaxy S25 Edge months before the 'iPhone Air'",0.0,0.0,1.0,0.0
AAPL,2025-05-12,08:03PM,Samsung launches slimmest smartphone as races against rival Apple,0.0,0.0,1.0,0.0
AAPL,2025-05-12,08:08AM,Navigating Market Uncertainty: Intrinsic Value of Apple Inc,0.0,0.222,0.556,0.222
AAPL,2025-05-12,08:26AM,Tech Stocks Rally on US-China Trade Deal,0.0,0.0,1.0,0.0
AAPL,2025-05-12,08:31AM,"Tesla, Amazon stocks lead 'Magnificent Seven' surge after US-China temporary trade truce",0.6808,0.359,0.641,0.0
AAPL,2025-05-12,08:31AM,"Amazon, Tesla stocks lead 'Magnificent Seven' surge after US-China temporary trade truce",0.6808,0.359,0.641,0.0
AAPL,2025-05-12,08:31AM,"Amazon, Tesla stocks lead 'Magnificent 7' surge after US-China temporary trade truce",0.6808,0.359,0.641,0.0
AAPL,2025-05-12,08:45AM,Secrets behind 'Magnificent 7' surge ahead of Nvidia earnings,0.5994,0.328,0.672,0.0
AAPL,2025-05-12,09:08AM,US-China tariff agreement may add fuel to 'Magnificent 7' stock rally,0.7964,0.441,0.559,0.0
AAPL,2025-05-12,09:24AM,"Stock Market News for May 12, 2025",0.0,0.0,1.0,0.0
AAPL,2025-05-12,09:54PM,Trump talks with Apple's Cook as iPhone price hikes loom,-0.2263,0.0,0.826,0.174
AAPL,2025-05-12,09:57PM,Apple to lean on AI tool to help iPhone battery life for devices in iOS 19,0.4019,0.153,0.847,0.0
AAPL,2025-05-12,10:01AM,"Mag 7 rally, airline & pharmaceutical stocks: Trending Tickers",0.0,0.0,1.0,0.0
AAPL,2025-05-12,10:02AM,Trump signals he could speak with China's Xi by end of the week,0.0,0.0,1.0,0.0
AAPL,2025-05-12,10:05AM,Trump Says He Spoke to Tim Cook Following China Deal,0.0,0.0,1.0,0.0
AAPL,2025-05-12,10:27AM,Apple might be loading up some iPhone price hikes,0.0,0.0,1.0,0.0
AAPL,2025-05-12,10:28AM,Your New iPhone May Get More Expensive. Apple Wont Blame Tariffs: Report.,0.2584,0.156,0.844,0.0
AAPL,2025-05-12,10:40AM,"Apple Mulls iPhone Price Hikes But Wants to Avoid Blaming Tariffs, Report Says",-0.7964,0.0,0.608,0.392
AAPL,2025-05-12,11:22AM,Apple weighs iPhone price hikes unrelated to tariffs: WSJ,0.0,0.0,1.0,0.0
AAPL,2025-05-12,11:25AM,Mayo Sees JPMorgan Becoming $1 Trillion Bank Within Three Years,0.0,0.0,1.0,0.0
AAPL,2025-05-12,11:42AM,Trump Announces Total Reset With New China Trade Deal,0.0,0.0,1.0,0.0
AAPL,2025-05-12,11:58AM,"Top Stock Movers Now: Apple, NRG Energy, Newmont, and More",0.4404,0.328,0.672,0.0
